City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,Bubaque,GW,83.48,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
299,Chaiya,TH,76.62,overcast clouds,9.3862,99.1986,JP Place
302,Kuching,MY,77.22,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
303,Gulbarga,IN,75.43,overcast clouds,17.3333,76.8333,Kamat Hotel
304,Lorengau,PG,80.65,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
305,Padang,ID,76.14,overcast clouds,-0.9492,100.3543,Mercure Padang
308,Kirakira,SB,77.56,overcast clouds,-10.4544,161.9205,SanBiz Lodge
309,Sola,VU,75.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
312,Batesville,US,86.95,clear sky,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
315,Porto Seguro,BR,77.52,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
321,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
323,Soure,BR,82.76,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
325,Young,UY,78.22,clear sky,-32.6833,-57.6333,Posada Gira el Sol
331,Salinas,US,75.52,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
333,Sulangan,PH,83.41,broken clouds,11.1373,123.7228,Maia's Beach Resort
334,Passo De Camaragibe,BR,85.55,few clouds,-9.2368,-35.4901,Chácara vovó candinha
335,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
336,Cockburn Town,TC,82.98,clear sky,21.4612,-71.1419,Osprey Beach Hotel
337,Gilgit,PK,76.57,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
342,Cayenne,GF,89.64,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
344,Neosho,US,88.32,clear sky,36.869,-94.368,Best Western Big Spring Lodge
346,Inhambane,MZ,72.03,clear sky,-23.865,35.3833,Oceano
